,content_cut
7136,哈哈 ， 巧 了 被 我 反杀 了
7137,2019
7138,找 队友 ， 稳 打法 ， 会 双刷 ， 时间 多 。 ID ： 杀马特 本本
7139,谁 打球 技术 + ID 触手 搜索 学子
7140,今天 是 大年初二 ， 祝 各位 球宝们 新年快乐 ！
7141,， ， ， ， ， ， ， ， ， ， ， ， ， ， ，
7142,我 玩 了 一年 才 获得 的 皮肤 ！
7143,春节 那个 黄金 车 结束 ， 坑 了 我 一百多 ， 这次 又 来 一个 黄金 车 活动 ， 怎么 就 这么 贪得无厌 了 ？ 原来 还 准备 每天 签到 一下 ， 现在 ， 只想 说 一句 ， 再见 ， 再也 不见
7144,2019 新 希望 ~ ~ 啥时候 发金 蘑菇 啊 ?
7145,有意 加 ＋ ， 一起 打 ?
7146,我 是从 三年 前 开始 玩 的 ， 最初 是 同学 叫 我 玩 的 ， 然后 慢慢 的 就 爱 上 这个 家庭 ， 从萌 新到 大神 ， 我 经历 了 很多 ， 可是 ， 马上 就要 中考 了 ， 能 玩球 球 的 时间 越来越少 ， 所以 我 很 珍惜 我 现在 玩 的 买 一秒钟 。
7148,我 问 一下 ， 那个 不服气 的 熊胖 是 那个 作家 的 啊 ， 有 哪位 球宝 知道 ？
7149,老子 回来 了
7150,找 队友 ， 找 师傅 ， 技术 不 清楚 ， 没试 过 极限 ， 名字 ： 大神 7834
7151,
7152,
7153,上次 忘记 发图 了
7154,真的 建议 关键词 光环 什么 的 多出 些 简约 梦幻 的 能 买 到 的 关键词 都 是 很 花 的 别的 要 不 买不到 要么 慢慢 拼 碎片 真的 强烈建议 放些 好看 的 关键词 光环 残影 的 出来 卖 吧
7155,玩球 球 两年 了 ， 想起 以前 关注 过 的 和 我 的 粉丝 都 走 了 ， 我 相信 他们 都 会 来 的
7156,有没有 一起 打 的 要求 没有 太 多 如果 有 的话 加 我 好友
7157,回游 了 ， 希望 找 几个 互关 队友 ， 要求 会 基本功 ， 心里 素质 高 的 队友 （ 不 骂人 ） 。 球球 不 倒 ， 陪 我 到 老
7158,小 菜鸟 求 大神 带 ? ?
7159,找对象 球球 id 搭笙 … …
7160,求 师傅 ， 找 一个 会 玩 一点 的 师傅 ， 我 比较 菜 ， 哈哈 ? ? IDZSWNPlll
7161,
7162,˙ 灬 ˙ & nbsp ; 1111111111
7163,喜欢 一个 游戏 从一而终 。
7164,旋转 合球 该 怎么弄 ， 怎么 都 学 不会 - _ - | | 我 是 智障
7165,这个 游戏 怎么 合作 啊 ， 不怕 被 吞 了 么
7166,有没有 带 菜鸟 玩 的 喵 ？ id 。 yhame
7167,双冠 吃 多少 人才 是 荣耀 局 ？
7168,有 多少 人 是 以前 用 20 个 棒棒糖 买 的
7169,ｸ ﾞ ｯ ! ๑ • ̀ ㅂ • ́ و ✧ 不会 玩 的 时候 就 听话 一点 ， 别人 让 * 啥 就 * 啥
7170,球球 大 作战
7171,我 玩球 球大 作战 三年 。 现在 的 球球 ， 变 的 ， 我 越来越 不 认识 了
7172,找个 球球 队友 ， 能 各种 花式 ， 平常 送球 不会 骂 起来 。 有 技术 ， 有 心态 的 来 。 id : 火影 神 138
7173,我 最近 ， 不好 。 等 我 熬过 了 这个 劫 ， 谁 给 的 糖 我 都 不要 了 ！
7175,处 对象 加 我
7176,故事 很 美
7177,玩球 球是 第四年 了 ， 经历 了 更 多 ， 获得 了 很多 ， 也 失去 了 很多 ， 改变 了 很多 ， 唯一 不变 的 就是 那颗 爱 玩球 球 的 心
7178,三年 了 ， 分 分离 离 。 现在 不 知道 该留 还是 走
7179,找 一个 有 时间 陪我玩 的 闺蜜 会 玩 就 行 我 脾气好 从不 骂人 玩 的 是 开心 技术 不好 别 嫌 我 坑
7180,飞行
7181,我 想 找 一个 队友 ， 会 玩 的 ， 不坑 ， 我 自己 会 玩 ， 想 找 一个 真心 队友 。
7182,为啥 同 段位 加入 不了 游戏 设置 也 不是 纯净 模式
7183,来 吧
7184,嘻嘻
7185,找个 会 唱歌 的 队友 # 珍德 家族 族长 珍德 是
7187,我 是 一名 老 玩家 ， 快玩 着 游戏 4 年 了 。 不过 我 放弃 不了 它 。
7188,40 个 赛季 老 玩家 回归 了
7189,关注 一起
7190,求 啪啪 小熊猫 是 什么 道具
7191,有 玩 的 关注 一下
7192,破纪录 了 希望 大家 支持 一下 。 谢谢 ， 不 容易 。
7193,在线 找 粉丝 鸭 ， 喜欢 我 的 关注 我 鸭
7194,黄金 车 后来 开启 的话 ， 前面 的 奖品 能 得到 吗 ？
7195,愿 骂 自由 粉丝 交流 群 : 950844133
7197,我 找 不到 好 队友 。
7198,为什么 一直 不 出 绳子 我 已经 蒙 了 。
7199,随机 匹配 队友 没 进房 ， 单挑 成功 ！ 现在 上 超神 不再 有 技术 门槛 了
7200,
7201,恋爱 吗 ， 我吐球 给 你
7202,啊哈
7203,天王星 真的 超级 好看 啊 可是 永久 的 好 贵 呀
7204,好 嗨 呦 ， 感觉 自己 到达 了 巅峰 ?
7205,互 礼物 + 死人 勿扰 谢谢
7206,处 队友 的 dd
7207,处对友 （ 不 嫌 我 菜 的 来 ）
7208,集齐 一个 ， 真 好
7209,嘿嘿 了解 一下
7210,天气 好 ， 心情 好 ， 找点 小可爱 观战 然后 送点 礼物 啦
7211,找个 差不多 的 队友 就行 。
7212,超神 联盟
7213,寻找 队友 ， 一起 直播 创造 新 的 天地 。 每个 赛季 可以 上 超神 的 。 滴滴 我
7217,分享 个 段子 ， 笑 死 了 ， 开心 的 一天 要 笑 着 开始
7219,谁 说 貂蝉 腿 粗 的 ， 哼 我 就 觉得 很 好看
7220,球球 不 倒 ， 陪你到 老 。
7221,玩 了 这么久 的 球球 ， 依然 喜欢 .
7224,怎么 看 自己 有 多少 彩豆 呢 ？ 有 知道 的 小 哥哥 小姐姐 告诉 我 ， 我 给 你 送 心心
7225,
7226,我 对 这个 学分 是 真的 无语 了 ...
7227,互坑 吧 ， 脾气好 。
7228,实力 不 允许 我 在 低调 了 ！
7230,
7231,互一 别墅 ， 诚心 先 手 ， 不回 嘎 嘣 死
7233,嘻嘻 优秀 ， 比心心 ﻿ @ Ai 穆帥 哥哥
7234,你们 的 生存 票 都 是 多少
7236,现在 的 球球 搞 的 什么 东西 。 总有 * 队友 。 要 怎么 玩 。 每次 总是 退游 一段时间 。 回来 还是 一个 样子 。 有 活动 的 时候 还充 蘑菇 。 充 会员 。 现在 这个 游戏 真的 没 啥 可 玩 的 。
7238,
7239,感觉 这个 游戏 越来越 不 适合 我 了
7241,粘人 的 小家伙
7242,玩球 球 这么久 ， 为何 坚持 到 现在 就是 心中 还有 一个 梦 没有 圆 ， 打线 上 公开赛 的 球宝 dd 球球 ID 紫林嘿
7243,毫无 游戏 体验 ， 什么 人 都 可以 有头 了 ， 真无语
7247,
7248,球球 一个 费脑 费手 的 游戏
7249,我 技术 还 行 。 然后 。 段位 * 。 有木 有人 带 我 。 我 不 坑 的 呢 。
7250,为什么 收到 了 学霸 天书 却 没有 加 经验 ？ 都 两次 了 损失 20 多个 天书 的 经验
7252,
7253,向 * 葵 和 摩天轮 换个 星星 棒 ， 有 吗 qvq ， 肥常 诚信 的
7255,找个 球球 师傅 ， 教教 我 ， 然后 带 我 ， 本人 男 。 之所以 是 女生 头像 是因为 好几个 头像 就 这个 审核 过 了 。 女 师傅 男 师傅 都行 。 然后 ID 给 我 ， 或者 QQ 。
7256,找 队友 找 队友 ， 心态 好 不是 特别 坑 就 可以
7257,刷个 存在 感
7258,这 就是 传说 中 的 单人 双冠 模式 ？
7262,谁 知道 bgf 袍子 那里 还有 的 卖
7263,找 队友 ， 带符号 搞笑 一起 玩
7264,加油
7267,这 发生 了 什么 ？
7268,游戏 而已 。 怎么 开心 这么 玩 。 技术 再 好 我 也 不 羡慕 你 。 我 怎么 充钱 跟 你 也 没关系 。 既然 不 相关 。 何必 多 哔 哔 。 有 的 看 你 就 看看 。 不想 看 就 闪人 。 不要 心里 不 平衡 。 我菜 跟 你 也 没 啥 关系 呐 。 我 开心 就 好 。
7269,亲嘴 嘴
7270,好烦 喏
7271,Q 伤换 号 了 希望 大家 都 关注 一下 吧 嘻嘻 我 都 会 回关 的 🤓 主动 一下 吧 嘻嘻 快手 搜索 ： 1316833993
7272,医院 去 了 1 破 嗓子 你 替 我
7273,is me
7275,万众 期待 的 2018 年度 BGF 总决赛 终于 快来 了 ， 比心 ， 希望 我 喜欢 的 战队 有 好 的 成绩 ， 可惜 我 去 不了 现场
7276,有没有 气球 比 我 高 的 .
7277,稳团 心态 加
7278,这是 球友 圈 吗
7279,一般 都 会
7280,我 也 没什么 说 的 反正 就 ， 球球 不到 ， 陪你到 老 。
7281,三年 ， 从 高二到 大二 ， 从 重庆 高中 到 西安 大学 ， 老球宝 一直 在
7282,我 这 有 酒 ， 你 有 故事 吗
7283,打球 球 两年 多 了 ， 中间 被 坑 退游过 两次 ， 但 都 回来 了 ， 还是 觉 的 这 游戏 特别 好玩 。
7284,终于 可以 照顾 好 自己
7285,我 好 菜
7286,球球 大 作战 的 是 在 我 九年 级 的 时候 玩 的 ， 现在 我 已经 高二 了 ， 球球 已经 陪 我 度过 了 三年 的 时光 ， 这 段时间 回来 看到 这个 觉得 挺 感动 的 。
7287,想到 接起 和 你 号码 很 像 的 外卖 电话 脱口而出 的 那句 “ 宝贝 ” 莫名 的 胸闷
7289,不 小心 买 了 个 这个 真 伤心
7290,这 一生 可以 快乐 就 别难过
7291,球球 大 作战 ， 欢乐 你 我 他
7292,80888 本来 是 我 的 id ， 被 抢 了
7293,希望 球球 大 作战 变得 越来越 好玩
7294,杀马 特们 大家 一起 加油 ， 一起 努力
7295,怀念 过去 吧台 该 睡觉 睡觉 变动不居 金属钠
7296,
7297,我 只 喜欢 开 箱子 ， 做 任务 ， 短位 不怎么 喜欢
7298,卡屏 很 气
7299,
7300,这 几天 玩球 球 ， 玩上 隐 了 。
7302,球球 三亿 老 玩家 回归 吧 我们 等 着 你们 呢
7303,球球 不 倒 ， 陪你到 老 。
7304,玩球 球快 两年 了 ， 感谢 陪伴
7305,巨 行星 去 哪儿 了 ......
7306,期待 新 版本 能 回归 初 心
7307,现在 棒棒糖 ? 买 不了 东西 了 ? 好不容易 存 了 3000 想买个 光环 现在 用 不了 ？
7308,做 我 的 傻宝 吧 ， 想 把 你 捧 在手 心里 ﻿ @ 拾忆 魅影
7309,
7310,天 真的 各位 ， 真的 以为 球球会 不 在 吸金 了 嘛 ， 连 魔法 屋 都 出到 十级 了 ， 今年 可能 连 道具 吐 狍子 加速 的 都 可能 出现
7313,
7314,球球 不 倒 ， 陪你到 老 ！ ！ ！
7315,QQ 扩列 ＋ 打球 ＋ 技术 也 就 那样 随便 打打 双冠 打打 荣耀 局 ?
7316,经历 了 太 多 ， 也 懂得 了 很多 。 球球 不到 ， 陪你到 老 。 ﻿ @ 迷之暖阳 ﻿ ﻿ @ 球球 你 衮 吧
7320,不 嫌弃 的 ， 可以 一起 玩 ， 技术 过得去
7321,没事 练练手 ， 纯属 娱乐
7322,明人 不说 暗话 ， 我 喜欢 你 （ 回关 ）
7323,玩球 球 三年 了 ， 希望 以后 能 有 更 多 的 陪伴 和 鼓励 . 谢谢
7324,还 记得 吗 … … 球球 不 倒 、 一起 到 老 三年 过去 了 我 还 在 你们 呢 ！
7325,
7327,
7328,我 看 你们 说 那么 多 故事 我 就 不 和 你们 比惨 了 啊 ， . 188577 我 的 id 扩列 一波 我 不 需要 你 多 厉害 你 只 需要 有趣 就 o 了 ?
7330,
7331,后悔 没有 早点 遇上 球球
7332,2019 你 给 抠 脚 队友 留言 了 吗 ？
7333,这 也 有 2019 吧 ， 大概 算 吧
7334,z 这 就是 啊 hhhhh
7335,
7336,哪里 可以 用 宇宙 币换 皮肤
7337,这个 应该 算 吧 ? ? ?
7338,玩球 球 也 有 两年 多 了 ， 开 了 超大 三十多 把 你 就 给 我 一个 草莓 狍子 ， 我 就 问问 还有 比 我 脸 黑 的 不 ！
7339,
7340,
7341,我 觉得 可以
7342,
7343,
7344,2019 年 希望 自己 在 事业 上 有 一个 新 的 开始 ！ 爱情 有 一个 好 的 进展 ！ 生活 有 一个 好 的 起 * ！ 2019 加油 ！
7345,我 玩 了 怎么 多年 多 不 容易 ， 虽然 我 玩 了 怎么 久 ， 球球 也 给 了 我 很多 的 快乐 ， 我 也 跟 过 很 厉害 的 队友 玩过 很 久 ， 想 跟 我 玩 的 加 我 ， 但 不要 坑 ， 我 也 没什么 话 说 了 。 ？
7346,
7347,画个 晴天 娃娃 吧 ， 是 小百约 的 稿
7348,图片 非常 多 ， 祝球球 大 作战 2019 快乐 ， 同时 也 祝 大家 ， ju 年 一起 冲
7349,祝 大家 过年 大吉 ， 猪 年 有 猪 相 ， 哈哈 ?
7350,* 儿
7351,球球 不 倒 ， 陪你到 老 。 祝 各位 球宝 身体健康 ， 祝球球 团队 越变 越 好 。 感谢 ﻿ @ 盛伟斌 ﻿ ﻿ @ 快手 阿贩 ﻿ @ 心梦 4093 ﻿ 的 陪伴 ， 让 我 爱 上 球球 大 作战 。
7352,开心 每 一天
7353,， 祝球球 大 作战 更好 ！ ！ ！
7354, 明天 狙人十 我 的 id 不太 重要 ， 带 我 符号 给 礼物
7355,
7356,希望 球球 大 作战 可以 做 的 更好 ， 让 更 多 的 人 了解 这个 游戏 的 好玩 ！
7357,。
7358,感谢 相遇 ? ﻿ @ 欲 賜
7359,不多 88 ， 球球 ， 2019 ， 爱 你 已久 ， 爱 你 依旧 ， 希望 球球 和 大家 都 会 越来越 好 ，
7360,团缺 辅助 队友 实力 2 拖 的 ， 拒废来
7361,球球 怎么 越来越 好 了 呢
7362,欢度 2019 ， 祝 大家 2019 年 ， 猪 ? 年 快乐 ！
7363,
7364,你们 有 认识 我 的 吗 ？
7365,有没有 觉得 这个 孢子 很 好看 的
7366,大家 新年快乐 鸭 ！ 新 的 一年 球球 陪伴 我们 也 多 了 一年 ！ 祝 大家 在 新 的 一年 成绩 和 球技 越来越 棒 ！ 新年快乐 ！
7367,春节 到 盼 团圆 ， 欢欣鼓舞 过大年 ， 热闹 美满 最 香甜 ， 衷心 祝 你 欢天喜地 过 新年 ， 阖家 团团圆圆 到 永远 ！
7368,2019 开开心心
7369,五亿 玩家 找 不到 一个 真正 值得 你 对 她 好 的 人
7370,我 是 一个 技术 一般 般的 学生 党 ， 我 希望 我能 跟 你们 玩 ， 我 的 ID ： MYW 逆风 ， 谢谢 。
7372,三年 梦 四亿人 有 百万 人 在 玩 吗
7373,2019 的 希望
7374,
7375,
7376,我 就 奇 了 怪 了 为什么 压岁钱 给 那些 四五岁 不会 花钱 小孩 我们 这些 需要 钱 又 没有 钱 的 大 宝宝 就 不 考虑一下 吗 ？
7377,双冠 ， 巨 行星 ， 怪兽 等 模式 一直 给 我 这个 界面 ， 是 把 我 号 封 了 还是 什么 的 ， 能 给 个 回复 么
7378,自建房 什么 时候 有 巨 星星 模式 了 为什么 我开 不了
7379,帅到 没 队友 ， 如果 你 也 喜欢 玩球 球 关注 我 吧 。 好 了 ， 话 不 多 说
7380,金 蘑菇 金 蘑菇 ~ ~
7381,感觉 还 可以
7382,祝 大家 新年快乐 ！
7383,找 队友 ， 会 花式 ， 心态 ， 能 hello ， 平常 打打 自 建 练练 ， 加 q2236030169
7384,话 不 多 说 ， 球球 不 倒 ， 陪 它 倒 老 。
7385,艰辛 上 王者 ， 上 个 王者 怎么 那么 难 啊 ！
7387,我 是 回忆 三年 老 玩家 ， 球球 倒 不 倒 ， 我 都 陪 到 老
7388,yle = color : rgb81 80 70 ; > 为什么 发 不了 ？ 哭哭 … …
7390,新年快乐 ? 在 这里 祝球球 大 作战 一年 比 一年 更 精彩 、 那些 皮肤 越来越 完美 个人 更 比较 喜欢 关键词 还是 很 怀念 那些 老 玩家 曾经 带 我 一起 打野 的
7391,yle = color : rgb81 80 70 ; > 找 队友
7392,
7393,有没有 一起 玩 的 啦 啦 啦
7394,
7395,我 只 想 祝 大家 新年快乐
7396,2019
7397,终于 霸屏 了
7398,我要 糖豆 ● ︿ ● 我要 糖豆
7399,玩 了 这么 长时间 ， 还 以为 终于 欧皇 了 ， 明明 获得 了 ， 又 没有 ， 真的 心 都 凉 了 ， 看 图
7400,找 队友 一起 上段 的 那种 哦 本人 学生 （ 小姐姐 不 建议 的话 一起 玩 ）
7401,有 一起 玩 的 吗
7402,在 2019 我 希望 球球 大 作战 能 做到 球宝 心里 ， 也 望 大家 球福得福
7403,会 玩 的 小姐姐 加 我 关注 哦
7404,好 伤心 啊 。 当初 我 因为 他们 有 了 球球 这个 兴趣 ， 后来 队友 门前 把 唯一 的 号 都 卖 给 了 他们 的 ， 有 兴趣 的 好友 最后 他们 都 置之不理 了 ， 只有 我 自己 埋头 苦练 ， 坚持 到 现在 ， 很 感谢 自己 一直 在 玩球 球 ，
7405,樱桃 蛋糕 在 那里 获得 啊
7406,
7407,快手 搜索 球球 大 作战 ❤ ️ Ws
7408,触手 22684950 直播 中 … … 快 来看 呀 ，
7409,2019 - 2 - 14
7410,
7411,想 好好 打球 球 ， 技术 一般 ， 找 一个 可以 经常 打 的 对友
7412,为啥 我 一 打游戏 就 闪退 ？ 我 观战 别人 半天 都 没事 ？
7413,看见 的 （ 除了 我 ） 都 不是 人
7414,我 玩球 球快 三年 了 中间 有 两个 号 被盗 了 。 还 退游 了 一次 但是 退游 了 两个 月 。 可是 每次 开 宝箱 都 开 不到 好 的 东西 。 希望 能 有人 祝福 一下 。 谢谢 大家 球球 不 倒 ， 陪 你们 到 老 。
7415,喜欢 交朋友 的 可以 关注 一下 ， 要 心态 好 的 就 OK
7416,本人 玩球 球 已经 三年 了 ， 一直 都 玩球 球 ， 不在乎 段位 什么 的 ， 就 希望 有 技术 好 的 球宝 陪 我秀 。 有 技术 的 可以 加 我 哟 ！ ID : 海德 丽薇
7417,有 一起 玩 的 吗 ？ 退游刚 回 w
7418,@ BOB1003755367 ﻿ ﻿ @ BOB1003755367
7420,喜欢 的 人 都 走 了 ， 可 我 舍不得 对 这个 游戏 付出 两年 多 的 感情 。 熬过 了 多少 数不清 的 夜 ， 认识 了 那么 三两个 走心 的 老友
7421,想加 好友 的 找 我 我 lD 小萝莉 6yo
7423,球球会 玩会 的 回关 ， 在 此祝 退游 的 球宝 回来 吧 ， 我们 等 你 ， 球球 不 倒 ， 陪 你 倒 老 。
7424,来个 队友 打 双冠 有没有
7425,有没有 出球球 id 的 ， 女 用
7426,人生 第一次 （ ’ - ’ *
7427,技术 加 : 草莓 达人秀 ， 本人 MVP225
7428,哎 ， 华东政法学院 我 的 学校 真 厉害
7429,
7430,
7431,笑 死 我 了
7432,第一 很难 ？ 不 不 不 只是 不能 持久
7433,这 是 啥 圣衣 呀
7434,真的 有毒 ， 没排 上 这 都 什么 鬼
7435,一直 升星 感觉 没意思 了 ， 想 找 脾气好 点 的 队友 玩 ， 嗯 ， 能 多 包容 一点 ， 有时 贼 强 ， 有时 贼 坑 ， 嗯
7436,看 图 ↷ 蓝 葫芦 头饰 和 孢子 颜 * 一致 了 ? ?
7437,*
7438,抽 远古 宝箱 抽出 个 白虎 和 朱雀 ， 偷渡 （ 应该 算 吧 ）
7439,有没有 小姐姐 带带 我 啊
7440,开 了 这么 多粉 箱子 没 开出 ， 来 开个 蓝 箱子 开 出来 了
7441,就要 上学 辽好 难过 为什么 有 学校 这个 东西 ？ ？ ？ 懵懵 懵 为什么 啊啊啊 啊 我 的 作业 还 没有 写 完 ， 我 的 球球 还 没有 上 超神 鸭 啊啊啊 啊 难过 ing 但木有 办法 ， 哎 ！ 祝 各位 球宝 上学 快乐 呀 ！ （ 虽然 并 不是 辣 么 快乐 ， 嘻 ） “ 奈球球 ， 奈球 宝们 ” ♥ 好 了 我要 背着 书包 上学 去 了 ， 再见 昂 ， 拜 ~ ♥
7442,
7443,
7444,为什么 我 改不了 账号 ， 创 不了 战队 ， 我 的 号 是不是 有毒 ？
7445,不怎么 会 玩 ， 想 找个 长期 互关 的 ， 喜小 哥哥 ? ? ? 看上 的 一起 ！
7446,互 天鹅 钢琴 诚信 互 ID 軟矜
7447,领领领 ～ 嘿嘿 ?
7448,找 队友 啊 ， 不 嫌弃 我 坑 的 来
7449,有点 魔性 的 哈哈哈 哈哈哈
7451,一 开始 玩球 球 好像 是 16 年 4 月份 ， 还是 同学 推荐 玩 的 。 那 时候 就 感觉 这 无法 不 就是 个 小游戏 嘛 ， 玩个 自由 的 名字 改成 大白 还有 大白 的 关键词 ， 现在 也 就 没 这 东西 了 。 后面 才 知道 也 挺 多 人 玩 这个 的 就 想着 怎么 不能 QQ 登陆 和 扣扣 好友 一起 玩 ， 其他 的 游戏 都 有 啊 ！ 想 跟 谁 玩 还 得 问下 “ 你 有 玩球 球 没 ” “ ID 多少 啊 ” “ 我 一开 自由 你 就 加进去 ” 什么 什么 的 没人 的 时候 自己 开 一把 扎个 刺 都 慌 得 一批 ， 一直 跑 ， 一直 跑 的 。 打 完 得到 宝箱 还 得 一直 注意 时间 ， 宝箱 时间 一到 就 进 游戏 赶紧 开 ， 然后 到 下 一个 。 平常 也 就 星期六 * 可以 玩 ， 然后 还是 寄宿生 拿 着 个 小小的 苹果 4 连着 生管 的 WLAN 一天 打 把 生存 签到 一下 没有 宝箱 就 和 他们 打团 ， 几个 通 学生 知道 我 不能 光明正大 的 打 ， 得 偷偷 的 打 不然 会 被 收 手机 就 说 “ 放心 我们 带 你 飞 就 对 了 ” 然后 就 慢慢 的 有 圣衣 了 。 到 17 年 他们 全去 打 王者 了 球球 也 删 了 ， 我 也 打 王者 去 了 但是 我球球 还 留 着 三年 了 我 除了 换 手机 ， 然后 旧 的 会 删掉 ， 其他 就 没 删过 ， 每天 也 就 签个 到 。 一 开始 到 现在 都 是 单指 玩家 ， 也 没 看出 三指 多 厉害 。 然后 就 越来越 氪 金 了 ， 什么 都 要 金 蘑菇 ， * 送 的 还 买 不得 ， 只 充过 几次 会员 。 “ 从前 ” 和 “ 充钱 ” 就是 这么 不 一样 。 & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; & nbsp ; 20190228
7453,真正 的 一发 入魂
7454,身边 的 人 一个个 走掉 走掉 都 走掉 ， 你 一个 人 盯 着 球球主 界面 ， 看着 空荡荡 的 聊天 留言 没有 一个 人 找 你 ， 没有 一个 人记 起 你 直到 你 觉得 这个 游戏 没意思 了 看淡 了 。 你 决定 退出 这个 舞台 。 这 就是 每个 人 玩球 球 最终 的 结局 。 我 退 了 ， 再见 小老虎
7455,唉 ， 无意间 出 了 一个 乖乖虎 ， 出 了 燃烧 的 远征 多好 ， 直接 打 卡奥斯 星拳
7456,球球 派对 啥时候 可以 玩 ？
7457,额 ， 退游 好久 ， 坑 的 很
7459,
7460,完 了 ， 球球 不能 玩 了 打局 游戏 就 这 *
7461,
7463,生活 绑架 了 我 而 我 绑架 了 你 不 可能 再 离开 不 可能 去 改变 安然 现状 极好 直到 天荒地老 我 最 爱 的 花花
7466,找 队友 会 玩 ， 我 巨坑 。 。 ?
7467,一块 玩 啊 处 游戏 cp
7468,怎么 显示 残影 ， 装备 了 都 不 显示
7471,星际 大奖赛 奖金 换 宝箱 好 还是 换金 蘑菇 好 呀
7472,? ? ?
7473,我 想要 改绑 手机号 但是 我 以前 的 那个 手机号 不见 了 我 现在 该 怎么办 ? 这个 号 我 还 不想 放弃 !
7474,现在 的 新 玩家 开口 就 骂 … …
7476,什么 都 什么 时候 了 超大 还给 我 这个 关键词
7477,来 关注 我 啊
7478,回归 了 ， 老手 ， 有 愿意 一起 的 关注 一下 ， 用户名 妖孽 奇
7480,官方 我 知道 你 出 游戏 是 为了 娱乐 ， 但是 坑 的 太 多 。 无耐 ， 挂机 的 挂机 ， 冲刺 100 分 ， 队友 挂机 冲 0 分
7481,来 一个 教 我 侧涨 的 队友 ， 带 一带 我
7483,有 一个 朋友 退游 了 😭 😭
7484,保持 距离 吧 ， 越远 越 好 。
7485,我 那么 爱 自由 ， 却 总想 为 你 停留 .
7486,大家 好 我 是 怪 咖 ， 用 我 朋友 顾诚 的 号 给 大家 分享 球缘 ： 刚 开始 玩 的 时候 大家 都 使劲 追人 ， 很 开心 ， 那 时候 最 厉害 的 技术 也 就是 中吐 和 交叉 吐球 ， 扫球 ， 一个 抹 茶 攒 了 我 一个月 ， 一个 星 的 思恋 可要 了 我 的 老命 ， 哈哈哈 ， 当然 也 有 许多 快乐 的 队友 ， 战楚 啊 ， 星辰 啊 ， 岛屿 啊 ， 还有 dk 了 ， 小红帽 那 时候 刷 榜 也 慢慢 认识 了 ， 这个 人 咋 有 这个 蛋蛋 满级 哦 ， 太 厉害 了 吧 ， 这个 就是 小红帽 雷雷雷大 手子 了 ， 当然 玩 着 玩 着 也 是 第三个 赛季 了 ， 我 也 慢慢 从 新手 变成 了 大腿 ， 朋友 们 球球 里面 你们 都 应该 找过 cp 吧 ， 这个 就是 青春 相当 美好 的 回忆 ， 我 下次 和 你们 更新 那些 年处 过 的 cp ， 想 看 更 多球球 故事 关注 小弟 ， 留言 告诉 我
7487,浪浪 浪浪 🌊
7489,大奖赛 刚 出来 的 时候 ， 视频 id 是 我 这个 号 之前 的 id ， 50 块钱 的 奖金 都 能 开出 什么 东西 ， 不 墨迹 视频 加速 给 你们 看看 。 当时 刚 出来 的 时候 孢子 残影 就 都 有 了 。
7490,刚才 打 小号 得 了 这 ， 要是 大 号 一样 就 好 了 。
7495,小号 回归
7496,互 礼物 的 ➕ 我 哟 ﻿ @ l 冰糖 游戏
7497,哇塞 现在 球球 官方 都 这么 厉害 了 吗 ， 发 的 照片 都 不 给 过 审 ， 就 我 和 我妹 ， 还是 说 我俩 拉低 了 球球 平均 颜值 所以 不过 [ 哭哭 ]
7498,我 想 买 那个 极品 土星 光环 ， 在 哪 买 找 不到 啊
7499,有人 ？
7500,呵呵
7503,你 毕竟 来过 ， 我 终究 难忘
7504,为何 我 双冠 没有 队友 了 ？ 只有 我 一个 人
7505,高想 找 队友 ， 第一名 也 活过 三分钟 了 为啥 不升段
7506,猎魔 奖励 太差 了 ， 太太 太差 了
7507,这 是 要 有 101 个人 吗 ← _ ←
7508,和 没位 球宝 和谐 相处
7509,哈哈哈 ， 不 知道 这 玩意儿 ， 随便 发帖 试试 ﻿ @ 原班
7510,你们 知道 星际 商人 在 哪 吗
7511,卡死
7512,投了 1 万多 ， 唉 伤心
7514,"来 和 小塔 一起 跨年 好不好 ~ 让 我们 一起 倒计时 10 , 9 , 8 , 7 , 6 , 5 , 4 , 3 , 2 , 1 ( ◍ ˃ ̶ ᗜ ˂ ̶ ◍ ) ✩ 念爽 想 说 ~ 明年 也 请 哥哥 多多指教 鸭 & lt ; ( ｀ ^ ´ ) & gt ; 元旦 快乐 ~ 圆蛋 快乐 ~ 波拉 哩 的 小 勇士 们 在 元旦 来临 之 日 ~ 偷偷 躲进 了 画 有 图案 的 蛋壳 里 ~ 系不系 非常 非常 可爱 鸭 ( ∼ ‾ ▽ ‾ ) → ) ) * ‾ ▽ ‾ * ) o [ 手指 戳戳 ] 新 的 一年 就 快要 到 了 ~ 我们 要 开心 一点 鸭 ~ 老塔塔 多么 愁眉苦脸 ~ 可能 最近 他 又 长胖 啦 ~ 但是 我 想 说 ~ 我 就是 喜欢 胖胖的 你 鸭 \ ( ˆ o ˆ ) / \ ( ˆ o ˆ ) /"
7515,我 打 一把 输 一把 ， 有没有 小 哥哥 以带 我
7516,稳团 心态 加
